start_date,start_time,start_am_pm,stop_date,stop_time,stop_am_pm
2018-09-14,17:35:00,PM,2018-09-14,19:39:00,PM
2018-09-14,10:53:00,AM,2018-09-14,22:53:00,PM
2018-09-13,21:30:00,PM,2018-09-14,03:29:00,AM
2018-09-13,09:29:00,AM,2018-09-13,21:29:00,PM
2018-09-12,11:47:00,AM,2018-09-12,23:47:00,PM
2018-09-12,10:26:00,AM,2018-09-12,22:26:00,PM
2018-09-11,00:07:00,AM,2018-09-11,03:15:00,AM
2018-09-10,21:41:00,PM,2018-09-11,03:13:00,AM
2018-09-10,09:30:00,AM,2018-09-10,21:30:00,PM
2018-09-08,17:23:00,PM,2018-09-09,05:03:00,AM
2018-09-08,09:50:00,AM,2018-09-08,16:57:00,PM
2018-09-07,22:06:00,PM,2018-09-08,00:45:00,AM
2018-09-07,10:06:00,AM,2018-09-07,22:06:00,PM
2018-09-06,14:13:00,PM,2018-09-06,23:51:00,PM
2018-09-06,10:30:00,AM,2018-09-06,22:30:00,PM
2018-09-05,10:28:00,AM,2018-09-05,22:28:00,PM
2018-09-04,11:34:00,AM,2018-09-04,23:34:00,PM
2018-09-03,22:27:00,PM,2018-09-04,02:44:00,AM
2018-09-03,10:25:00,AM,2018-09-03,22:25:00,PM
2018-09-01,22:14:00,PM,2018-09-02,03:19:00,AM
2018-09-01,19:01:00,PM,2018-09-02,03:27:00,AM
2018-09-01,11:58:00,AM,2018-09-01,14:24:00,PM
2018-09-01,09:58:00,AM,2018-09-01,21:58:00,PM
2018-08-31,10:53:00,AM,2018-08-31,22:08:00,PM
2018-08-31,09:58:00,AM,2018-08-31,21:58:00,PM
2018-08-29,19:16:00,PM,2018-08-30,02:25:00,AM
2018-08-29,07:12:00,AM,2018-08-29,19:12:00,PM
2018-08-28,22:02:00,PM,2018-08-29,00:45:00,AM
2018-08-28,09:59:00,AM,2018-08-28,21:59:00,PM
2018-08-27,10:27:00,AM,2018-08-27,22:27:00,PM
2018-08-24,09:51:00,AM,2018-08-24,21:51:00,PM
2018-08-23,07:48:00,AM,2018-08-23,18:47:00,PM
2018-08-22,22:20:00,PM,2018-08-23,06:24:00,AM
2018-08-22,10:12:00,AM,2018-08-22,22:12:00,PM
2018-08-21,19:18:00,PM,2018-08-21,22:35:00,PM
2018-08-21,10:11:00,AM,2018-08-21,18:00:00,PM
2018-08-21,07:15:00,AM,2018-08-21,19:15:00,PM
2018-08-20,22:22:00,PM,2018-08-21,03:33:00,AM
2018-08-20,11:11:00,AM,2018-08-20,20:56:00,PM
2018-08-20,10:18:00,AM,2018-08-20,22:18:00,PM
2018-08-18,09:49:00,AM,2018-08-18,20:43:00,PM
2018-08-17,10:18:00,AM,2018-08-17,22:18:00,PM
2018-08-16,10:23:00,AM,2018-08-16,22:23:00,PM
2018-08-14,10:37:00,AM,2018-08-14,22:18:00,PM
2018-08-13,10:44:00,AM,2018-08-13,22:19:00,PM
2018-08-11,09:59:00,AM,2018-08-11,21:39:00,PM
2018-08-10,09:58:00,AM,2018-08-10,21:58:00,PM
2018-08-09,11:25:00,AM,2018-08-09,21:08:00,PM
